choice,gender,amount,freq,last,first,child,youth,cook,diy,art
yes,male,113,8,1,8,0,1,0,0,0
yes,male,418,6,11,66,0,2,3,2,3
yes,male,336,18,6,32,2,0,1,1,2
yes,male,180,16,5,42,2,0,0,1,1
yes,female,320,2,3,18,0,0,0,1,2
yes,male,268,4,1,4,0,0,0,0,0
yes,male,198,2,12,62,2,3,2,1,2
yes,female,280,6,2,12,0,2,0,0,0
yes,male,393,12,11,50,3,0,3,0,2
yes,male,138,10,7,38,2,3,0,0,1
yes,female,142,14,2,20,0,1,0,0,1
yes,female,251,10,2,18,0,0,2,0,0
yes,female,130,14,2,18,1,0,0,0,0
yes,male,308,6,1,6,0,0,0,0,1
yes,male,251,10,2,18,1,0,0,0,1
yes,male,249,16,1,16,1,0,0,0,0
yes,male,311,14,9,50,0,0,2,1,0
yes,female,180,8,2,12,0,1,0,1,0
yes,female,227,30,2,34,1,0,0,0,1
yes,male,44,2,1,2,0,0,1,0,0
yes,male,207,4,7,22,2,1,1,0,1
yes,male,239,14,2,22,1,0,1,0,0
yes,male,154,10,7,46,0,2,0,1,1
yes,female,218,4,2,6,2,0,0,0,0
yes,female,273,10,2,12,2,0,0,0,0
yes,male,250,10,1,10,1,0,0,0,0
yes,male,235,10,9,40,3,0,1,1,1
yes,female,100,22,2,26,0,0,0,1,1
yes,male,140,2,1,2,1,0,0,0,0
yes,male,331,10,7,48,1,0,1,0,2
yes,female,309,4,2,8,0,0,1,0,0
yes,male,280,10,1,10,1,0,0,0,0
yes,female,90,4,1,4,0,0,0,0,0
yes,female,331,4,7,28,3,0,2,0,2
yes,male,312,8,2,10,0,0,0,1,0
yes,female,164,10,9,46,0,2,3,0,0
yes,male,172,14,5,38,0,0,1,2,1
yes,female,285,16,4,28,0,0,3,0,0
yes,female,386,6,11,36,4,0,1,0,2
yes,male,428,2,9,22,2,1,1,0,2
yes,male,396,12,12,68,6,0,3,0,2
yes,male,377,8,11,36,3,2,3,0,1
yes,female,103,8,1,8,1,0,0,0,0
yes,male,204,14,2,22,0,0,1,0,0
yes,male,161,10,1,10,0,0,0,0,1
yes,female,165,2,11,48,1,0,3,2,0
yes,male,66,10,1,10,0,0,1,0,0
yes,male,318,14,9,66,5,1,0,0,1
yes,male,159,10,9,46,2,0,1,0,5
yes,female,80,2,2,6,1,0,1,0,0
yes,male,163,10,2,18,0,0,1,0,0
yes,female,213,10,3,22,0,1,0,0,2
yes,male,400,10,10,34,1,0,1,1,3
yes,female,183,8,12,66,4,0,2,1,4
yes,female,151,8,1,8,0,0,0,1,0
yes,female,240,16,2,18,0,1,1,0,0
yes,female,97,6,1,6,0,0,0,0,1
yes,female,267,6,3,12,2,0,0,0,0
yes,female,136,6,5,28,1,1,2,0,1
yes,female,129,4,3,18,1,0,0,1,1
yes,male,89,4,2,6,0,0,0,0,1
yes,female,283,8,12,62,5,0,4,0,1
yes,male,266,10,9,50,0,0,5,0,2
yes,male,240,2,2,8,0,1,0,0,1
yes,male,144,12,1,12,0,1,0,0,0
yes,female,74,2,2,6,0,0,0,1,1
yes,male,163,6,2,8,1,0,1,0,0
yes,male,70,2,1,2,0,0,0,0,0
yes,male,251,4,2,8,0,0,0,0,1
yes,male,288,30,1,30,0,0,0,1,0
yes,female,304,2,3,10,1,0,0,0,1
yes,male,249,14,4,30,0,0,0,0,2
yes,male,310,2,1,2,0,0,0,0,0
yes,male,176,8,11,64,2,0,2,0,3
yes,male,276,10,2,14,0,0,1,1,0
yes,male,272,16,1,16,0,0,0,0,1
yes,male,385,2,9,34,4,1,0,1,2
yes,male,261,14,7,40,1,1,0,0,4
yes,female,194,16,4,32,0,0,1,1,2
yes,female,195,4,4,16,1,0,1,0,1
yes,male,250,6,1,6,0,0,0,1,0
yes,male,474,12,12,46,2,1,1,1,4
yes,male,219,10,7,34,1,1,1,0,1
yes,female,122,8,7,26,1,0,2,1,1
yes,male,170,4,1,4,0,0,1,0,0
yes,female,306,8,1,8,0,0,1,0,0
yes,female,276,14,2,16,0,0,0,0,1
yes,female,183,20,1,20,0,0,0,0,1
yes,female,18,14,1,14,0,1,0,0,0
yes,male,130,12,1,12,0,0,0,1,0
yes,female,169,4,11,50,1,0,2,4,3
yes,male,181,6,1,6,0,0,0,0,1
yes,male,304,6,1,6,0,0,0,0,1
yes,male,177,14,1,14,0,0,0,1,0
yes,male,361,6,6,36,1,0,2,0,2
yes,male,245,30,1,30,0,0,0,0,1
yes,male,237,6,4,16,0,0,1,0,3
yes,male,273,14,5,30,0,0,0,1,2
yes,male,168,6,2,12,1,0,0,0,1
yes,male,262,30,1,30,1,0,0,0,0
yes,male,295,10,1,10,0,0,1,0,0
yes,female,223,10,1,10,0,0,0,0,1
yes,male,276,4,1,4,0,1,0,0,0
yes,female,115,4,2,12,1,0,1,0,0
yes,male,297,14,2,22,1,0,0,0,0
yes,female,296,8,6,32,0,1,2,0,2
yes,female,198,16,5,36,1,0,1,1,2
yes,female,234,8,5,24,2,0,0,1,2
yes,male,184,10,10,66,1,2,1,1,3
yes,female,280,10,8,34,1,1,4,0,0
yes,female,414,2,8,46,3,1,0,0,3
yes,female,72,8,2,16,0,1,0,0,1
yes,female,287,16,1,16,0,0,0,0,0
yes,female,126,14,2,20,0,0,1,1,0
yes,male,253,10,1,10,0,0,0,0,1
yes,female,212,16,5,38,1,0,1,2,0
yes,female,77,2,2,4,0,0,1,0,1
yes,female,181,14,1,14,0,0,0,0,0
yes,female,148,6,4,20,0,1,1,0,2
yes,male,247,16,2,18,1,0,0,0,0
yes,female,129,4,1,4,0,0,0,0,0
yes,male,133,2,8,20,0,2,2,0,0
yes,female,193,10,2,18,0,0,1,0,1
yes,male,224,10,10,62,3,0,2,0,3
yes,male,210,2,6,36,2,0,1,0,1
yes,female,405,6,12,70,5,0,0,2,3
yes,male,257,6,2,8,0,0,2,0,0
yes,male,159,4,7,18,1,0,1,0,1
yes,female,225,8,2,12,1,0,0,0,0
yes,female,287,12,2,16,0,0,0,0,0
yes,female,228,4,2,6,1,0,1,0,0
yes,male,229,16,1,16,0,0,0,0,0
yes,male,315,2,2,10,0,0,0,0,2
yes,male,291,2,1,2,0,0,0,0,1
yes,male,176,20,3,36,1,0,1,0,1
yes,male,322,12,12,74,3,2,1,1,4
yes,male,303,28,2,32,1,0,0,0,1
yes,male,241,10,2,16,1,0,0,0,0
yes,male,303,2,2,6,0,1,0,0,1
yes,male,305,2,2,10,0,0,1,1,0
yes,male,165,12,8,32,1,2,1,2,1
yes,male,268,8,4,30,1,1,0,0,2
yes,female,230,4,1,4,0,0,0,0,1
yes,male,22,2,1,2,0,0,0,0,1
yes,male,75,4,4,26,0,1,0,1,0
yes,female,356,4,6,22,2,1,0,1,0
yes,female,270,4,4,22,2,2,0,0,0
yes,female,264,4,12,30,4,2,2,0,1
yes,male,314,4,2,8,1,0,0,1,0
yes,female,155,30,6,44,1,0,3,0,0
yes,female,48,10,1,10,0,1,0,0,0
yes,male,84,2,2,4,0,0,0,0,1
yes,female,228,8,1,8,0,0,0,0,1
yes,male,224,10,4,32,1,1,1,0,1
yes,male,315,14,4,24,0,1,0,0,1
yes,female,192,10,1,10,0,0,1,0,0
yes,male,246,12,11,38,3,0,4,0,0
yes,female,219,10,6,28,2,0,1,0,2
yes,female,265,4,2,8,0,0,0,2,0
yes,female,316,12,3,20,0,0,0,0,1
yes,female,248,16,8,38,3,0,2,1,1
yes,male,340,8,3,16,0,0,0,0,2
yes,male,281,12,2,16,0,0,1,0,1
yes,female,200,16,2,18,2,0,0,0,0
yes,male,243,16,2,24,1,0,1,0,0
yes,female,187,12,2,18,0,0,1,0,0
yes,female,147,8,2,12,0,0,0,0,1
yes,male,213,2,2,8,0,0,0,0,1
yes,female,171,2,2,10,1,0,1,0,0
yes,male,127,2,4,16,0,1,0,1,1
yes,female,179,8,5,24,1,1,2,0,0
yes,male,237,12,1,12,0,0,1,0,0
yes,female,274,2,1,2,0,0,1,0,0
yes,female,410,12,11,46,2,0,4,2,2
yes,male,118,8,2,12,0,0,0,1,0
yes,male,255,6,11,68,1,2,2,2,3
yes,female,216,2,2,4,1,0,0,1,0
yes,male,183,2,1,2,1,0,0,0,0
yes,male,338,4,12,50,1,4,1,1,2
yes,female,252,24,1,24,0,0,0,0,0
yes,male,47,2,3,10,0,0,0,0,2
yes,female,338,16,5,28,2,1,1,1,0
yes,male,43,2,2,4,0,1,1,0,0
yes,male,289,4,6,28,0,0,2,1,1
yes,female,285,8,1,8,1,0,0,0,0
yes,female,259,14,7,34,1,0,3,0,1
yes,male,272,12,1,12,0,0,0,0,0
yes,female,203,12,1,12,0,0,0,1,0
yes,male,274,8,1,8,0,0,0,0,1
yes,female,257,20,6,38,1,0,0,0,1
yes,male,125,16,2,18,0,0,0,0,0
yes,male,262,10,1,10,0,0,0,1,0
yes,female,97,16,6,42,2,1,2,0,1
yes,male,80,14,1,14,0,0,0,1,0
yes,female,243,12,9,52,2,1,1,1,3
yes,male,120,4,2,6,0,0,2,0,0
yes,male,280,6,11,66,5,1,1,0,1
yes,male,216,2,1,2,0,0,0,0,0
yes,male,216,10,1,10,0,1,0,0,0
yes,female,53,2,1,2,0,0,0,0,1
yes,female,352,16,7,56,2,0,1,1,0
yes,female,39,26,1,26,0,1,0,0,0
yes,female,139,12,2,20,1,0,0,0,0
yes,female,256,4,2,8,1,0,1,0,0
yes,male,248,14,1,14,0,0,1,0,0
yes,female,172,8,2,14,0,0,1,0,0
yes,male,254,10,2,12,0,0,1,0,1
yes,male,232,8,8,52,1,2,2,0,0
yes,female,145,6,3,12,2,0,0,1,0
yes,male,192,12,1,12,0,0,0,0,1
yes,male,149,2,5,26,0,1,1,0,3
yes,male,232,2,5,24,1,2,0,0,0
yes,male,276,8,2,12,1,0,1,0,0
yes,female,222,14,2,20,0,0,0,0,1
yes,female,90,2,3,16,1,0,1,1,0
yes,female,206,14,1,14,0,0,0,0,0
yes,female,202,10,6,40,0,0,0,0,3
yes,male,261,6,11,38,2,0,3,3,2
yes,female,262,6,12,32,1,2,1,3,3
yes,male,266,6,2,14,0,0,0,1,1
yes,female,223,2,3,12,2,0,0,0,1
yes,female,321,14,2,18,0,0,0,1,1
yes,male,216,14,5,36,1,0,1,0,3
yes,male,222,14,9,50,2,1,1,1,4
yes,female,213,8,1,8,0,0,0,0,0
yes,female,122,2,3,12,0,0,0,0,1
yes,male,303,4,2,8,1,0,0,0,0
yes,female,165,4,2,6,0,0,0,0,2
yes,female,77,4,2,10,0,1,0,0,0
yes,female,230,12,2,20,0,0,1,0,0
yes,female,248,6,2,10,2,0,0,0,0
yes,female,343,4,4,18,2,1,0,0,1
yes,male,175,8,3,16,0,0,2,0,1
yes,male,277,14,7,54,2,0,0,1,3
yes,female,174,10,1,10,0,0,0,0,1
yes,male,206,6,1,6,0,0,0,0,1
yes,male,211,14,2,22,0,0,1,0,1
yes,male,247,16,5,46,0,1,0,0,2
yes,male,108,6,2,10,1,0,1,0,0
yes,female,187,2,1,2,0,0,0,0,0
yes,female,145,4,1,4,0,0,0,0,0
yes,male,229,2,2,4,0,0,0,0,1
yes,male,330,16,5,42,0,0,1,0,2
yes,female,285,14,1,14,1,0,0,0,0
yes,female,258,28,7,60,0,1,1,1,1
yes,female,274,14,2,18,0,0,0,0,1
yes,male,38,34,1,34,0,0,0,0,0
yes,male,267,2,4,20,0,1,1,0,1
yes,male,241,10,1,10,0,0,1,0,0
yes,female,102,10,2,16,0,0,1,0,1
yes,female,119,4,3,18,0,0,1,0,0
yes,female,230,8,2,12,0,0,1,0,0
yes,male,73,16,2,22,0,1,0,0,1
yes,female,220,28,7,70,1,0,0,1,2
yes,female,190,2,2,8,0,0,0,1,1
yes,male,34,2,1,2,0,0,0,0,1
yes,male,235,4,2,8,0,0,2,0,0
yes,female,145,2,1,2,0,0,1,0,0
yes,female,33,14,1,14,0,0,0,0,1
yes,male,49,10,1,10,0,1,0,0,0
yes,male,37,12,2,14,0,1,0,1,0
yes,male,253,4,1,4,0,0,1,0,0
yes,male,88,10,2,18,1,0,0,0,0
yes,male,290,2,2,4,0,0,0,0,1
yes,female,253,24,1,24,0,0,1,0,0
yes,male,391,6,10,64,0,0,5,1,2
yes,male,150,6,5,28,1,0,2,1,0
yes,male,292,12,7,52,1,1,1,0,3
yes,female,274,10,5,30,0,1,1,0,2
yes,female,196,6,2,10,0,0,0,0,1
yes,male,307,10,2,16,0,0,0,0,2
yes,male,65,6,1,6,1,0,0,0,0
yes,male,315,12,10,48,2,1,1,2,2
yes,female,191,16,8,50,2,1,1,1,1
yes,female,36,16,1,16,0,0,1,0,0
yes,male,386,4,11,32,1,2,2,1,1
yes,female,384,2,7,44,0,1,1,3,2
yes,female,400,6,11,52,2,0,4,2,3
yes,female,140,4,2,6,1,0,0,0,0
yes,male,64,14,2,20,0,0,0,0,2
yes,male,204,12,2,14,0,1,0,0,1
yes,female,188,4,5,28,1,0,2,1,1
yes,female,85,10,1,10,0,0,0,0,0
yes,male,41,2,1,2,0,0,0,0,1
yes,male,245,18,4,34,0,0,0,0,1
yes,female,28,16,1,16,0,0,0,0,0
yes,male,290,14,2,22,0,1,0,0,1
yes,male,302,10,5,26,0,0,0,1,2
yes,male,216,10,1,10,0,0,0,0,0
yes,male,97,12,1,12,0,0,0,0,1
yes,female,278,2,1,2,0,0,1,0,0
yes,female,88,12,2,14,0,0,1,0,0
yes,male,233,16,4,36,1,0,0,1,0
yes,male,355,10,10,60,2,0,2,1,3
yes,male,179,12,2,18,0,1,0,0,1
yes,female,314,2,1,2,1,0,0,0,0
yes,male,444,28,10,82,1,1,1,3,2
yes,female,179,6,1,6,0,1,0,0,0
yes,female,84,6,1,6,0,0,0,0,0
yes,male,263,4,6,30,2,0,2,1,1
yes,male,297,8,3,14,0,1,0,0,1
yes,female,299,6,5,32,1,2,1,1,0
yes,female,85,6,4,14,1,0,1,0,2
yes,male,75,16,1,16,0,0,0,0,0
yes,female,350,12,4,26,0,0,0,1,2
yes,male,55,10,1,10,0,0,0,0,1
yes,male,274,22,1,22,0,0,0,0,0
yes,male,215,6,11,66,2,1,4,1,2
yes,female,130,22,2,24,1,1,0,0,0
yes,female,137,6,2,8,0,1,0,1,0
yes,female,78,6,2,10,0,0,0,0,0
yes,male,338,2,5,20,1,0,0,1,2
yes,female,244,6,5,22,2,1,0,0,1
yes,male,183,2,1,2,0,0,1,0,0
yes,female,376,4,10,60,1,2,2,3,1
yes,male,82,6,3,16,0,1,0,1,0
yes,male,367,12,12,72,3,0,3,0,1
yes,female,418,16,8,32,1,1,1,2,3
yes,female,81,16,1,16,0,0,0,1,0
yes,female,249,2,2,10,0,0,1,0,1
yes,female,102,16,3,32,0,0,0,0,1
yes,male,351,10,9,62,3,1,2,1,2
yes,female,322,4,2,12,1,0,0,1,0
yes,female,360,2,10,22,2,1,1,3,1
yes,male,451,12,11,78,3,0,3,0,3
yes,male,286,12,2,14,1,0,0,0,1
yes,male,187,16,3,22,0,0,1,0,1
yes,female,17,16,1,16,1,0,0,0,0
yes,female,407,12,12,40,3,0,1,3,2
yes,male,143,14,1,14,0,0,0,0,0
yes,male,404,4,11,38,2,1,1,2,2
yes,female,17,4,1,4,1,0,0,0,0
yes,female,148,6,9,48,0,1,1,1,2
yes,female,118,6,2,8,1,0,0,0,0
yes,male,302,12,2,18,1,0,1,0,0
yes,male,374,2,10,26,4,3,0,0,3
yes,female,110,2,2,8,0,0,2,0,0
yes,female,185,10,10,40,2,1,3,1,2
yes,male,235,2,2,8,1,0,0,0,0
yes,male,41,6,1,6,0,0,0,0,1
yes,female,243,16,1,16,0,0,0,0,1
yes,female,183,8,1,8,0,0,0,0,1
yes,male,273,30,9,68,1,3,0,1,1
yes,male,372,4,12,36,3,0,2,2,3
yes,male,234,8,8,40,0,2,0,0,3
yes,male,282,16,6,42,1,1,0,0,2
yes,female,135,12,1,12,0,0,0,0,0
yes,male,236,8,1,8,0,0,0,0,0
yes,female,165,2,1,2,1,0,0,0,0
yes,male,318,16,2,22,0,0,0,0,1
yes,male,299,10,2,16,1,0,1,0,0
yes,female,345,14,6,38,1,1,1,0,2
yes,male,115,8,7,38,1,2,1,1,2
yes,female,179,10,1,10,0,0,0,0,1
yes,male,396,12,9,44,1,2,2,0,1
yes,female,371,6,11,40,4,1,4,1,0
yes,female,292,2,1,2,1,0,0,0,0
yes,male,339,10,6,36,2,1,0,0,2
yes,male,245,2,1,2,1,0,0,0,0
yes,female,330,14,12,84,2,0,3,3,3
yes,female,154,10,1,10,0,0,1,0,0
yes,female,243,28,1,28,0,1,0,0,0
yes,male,72,14,2,18,0,0,0,0,1
yes,male,92,6,1,6,1,0,0,0,0
yes,male,307,8,1,8,1,0,0,0,0
yes,female,271,10,1,10,0,0,0,0,1
yes,male,385,4,9,40,2,0,2,2,2
yes,male,94,2,6,24,1,1,2,1,0
yes,female,115,2,3,16,1,0,0,1,0
yes,male,55,2,3,8,0,1,0,0,1
yes,female,252,2,2,4,0,0,1,0,1
yes,female,339,12,11,38,4,0,1,1,2
yes,male,76,10,1,10,0,0,0,0,1
yes,male,59,16,1,16,0,0,0,1,0
yes,female,406,8,10,58,1,0,3,2,1
yes,male,60,14,4,28,0,0,1,0,1
yes,female,306,10,1,10,0,0,0,0,1
yes,male,264,4,2,8,0,0,0,1,1
yes,male,74,10,2,14,1,0,0,0,1
yes,female,256,12,1,12,0,0,0,0,1
yes,male,253,12,1,12,0,0,1,0,0
yes,female,403,12,8,44,3,1,1,2,1
yes,male,35,10,2,16,0,0,0,1,1
yes,female,139,10,9,30,1,3,1,2,0
yes,female,229,16,2,20,0,0,1,0,0
yes,male,237,2,2,4,0,0,1,0,1
yes,male,202,8,11,32,2,0,1,1,2
yes,female,111,12,2,20,0,0,0,0,0
yes,male,256,2,11,38,4,2,3,0,1
yes,male,57,2,2,8,0,0,1,0,1
yes,male,162,10,1,10,0,0,0,0,1
yes,male,336,2,10,24,3,0,0,0,2
yes,male,319,2,2,8,0,0,0,1,1
yes,female,183,2,1,2,0,1,0,0,0
yes,female,385,4,10,26,2,0,1,3,0
yes,female,352,2,6,22,0,2,1,0,2
yes,male,276,10,2,16,1,0,0,0,0
yes,male,72,6,4,16,1,0,1,0,2
yes,male,313,8,1,8,0,0,0,0,0
yes,female,287,12,4,24,0,3,0,0,1
no,male,123,12,1,12,0,1,0,0,0
no,male,294,6,2,8,0,1,1,0,0
no,male,138,14,9,38,1,1,3,2,1
no,male,228,2,1,2,0,1,0,0,0
no,male,102,22,2,24,2,0,0,0,0
no,female,145,10,8,50,1,1,4,0,1
no,female,211,6,1,6,0,0,1,0,0
no,male,289,4,5,32,1,1,1,1,0
no,female,185,14,6,44,1,0,3,1,1
no,male,261,6,1,6,1,0,0,0,0
no,male,73,14,4,32,2,0,0,0,1
no,male,185,16,2,18,0,0,0,1,1
no,male,274,12,2,20,1,0,0,0,1
no,male,82,10,1,10,0,0,0,0,0
no,male,184,2,2,10,1,0,1,0,0
no,male,113,20,1,20,1,0,0,0,0
no,female,44,12,2,20,0,0,2,0,0
no,male,254,6,3,24,0,0,1,1,1
no,male,213,2,1,2,0,0,0,0,1
no,male,57,10,2,14,0,0,2,0,0
no,male,252,12,1,12,1,0,0,0,0
no,male,52,4,2,6,1,0,0,0,0
