choice,gender,amount,freq,last,first,child,youth,cook,diy,art
no,male,253,6,12,38,8,0,1,1,0
no,female,295,14,1,14,1,0,0,0,0
no,female,276,24,2,28,0,0,1,0,0
no,male,218,14,1,14,0,0,0,1,0
no,male,202,8,4,30,4,0,0,0,0
no,female,232,8,1,8,1,0,0,0,0
no,male,247,32,2,40,1,1,0,0,0
no,male,310,12,2,18,0,1,1,0,0
no,male,298,12,4,24,1,0,0,1,1
no,male,161,2,1,2,0,0,1,0,0
no,female,122,16,1,16,0,0,1,0,0
no,male,34,10,1,10,1,0,0,0,0
no,male,191,10,2,12,1,0,0,0,0
no,female,103,18,2,24,1,0,1,0,0
no,male,127,10,2,18,0,0,1,0,0
no,male,106,16,1,16,0,0,1,0,0
no,female,102,2,2,8,1,0,0,0,0
no,male,301,6,1,6,0,1,0,0,0
no,female,228,6,2,8,0,0,1,0,0
no,female,263,12,1,12,0,0,1,0,0
no,male,80,6,2,14,0,1,0,1,0
no,female,256,16,8,60,3,0,3,1,1
no,male,229,18,1,18,0,0,1,0,0
no,male,67,12,1,12,0,0,1,0,0
no,female,292,12,4,28,3,0,0,0,0
no,male,320,6,3,18,1,1,0,0,0
no,male,241,30,1,30,0,1,0,0,0
no,female,312,14,1,14,0,0,1,0,0
no,male,261,22,2,30,0,0,1,0,0
no,male,273,16,1,16,1,0,0,0,0
no,female,163,6,2,14,2,0,0,0,0
no,female,198,30,1,30,0,0,0,1,0
no,male,234,14,2,16,0,0,2,0,0
no,female,232,16,1,16,0,0,1,0,0
no,female,271,14,1,14,0,0,0,0,0
no,male,148,28,3,40,1,0,1,0,1
no,male,273,16,10,70,5,0,1,1,0
no,male,94,8,3,26,0,1,1,0,0
no,female,284,18,7,44,3,1,3,0,0
no,female,152,18,1,18,1,0,0,0,0
no,female,35,6,2,10,0,1,1,0,0
no,male,242,16,12,80,3,0,4,2,0
no,male,28,12,1,12,1,0,0,0,0
no,male,226,22,1,22,0,0,1,0,0
no,female,34,4,2,10,1,0,0,0,0
no,male,32,12,2,18,0,0,2,0,0
no,male,150,30,1,30,0,0,0,1,0
no,male,102,28,1,28,0,1,0,0,0
no,male,394,8,11,72,4,1,3,1,2
no,female,399,8,10,54,1,1,4,1,2
no,male,257,16,2,24,1,1,0,0,0
no,male,250,24,2,28,2,0,0,0,0
no,female,83,18,1,18,1,0,0,0,0
no,male,221,2,1,2,0,0,0,0,0
no,female,271,16,3,26,2,0,0,0,1
no,male,366,10,12,70,3,1,2,3,1
no,male,300,14,1,14,0,0,1,0,0
no,female,262,10,12,34,1,3,2,3,0
no,male,287,8,2,14,1,1,0,0,0
no,female,89,4,2,8,0,0,0,0,1
no,male,32,16,1,16,0,0,0,1,0
no,male,142,16,6,46,2,1,0,1,2
no,male,278,20,1,20,0,0,0,0,0
no,female,175,4,1,4,1,0,0,0,0
no,male,203,16,2,24,1,0,1,0,0
no,female,205,2,2,8,0,0,1,0,0
no,male,33,12,2,14,0,1,0,1,0
no,male,176,4,1,4,0,0,1,0,0
no,male,284,10,1,10,0,0,1,0,0
no,female,46,2,1,2,1,0,0,0,0
no,male,323,12,7,44,2,0,2,2,0
no,female,262,2,3,12,2,1,0,0,0
no,male,59,8,1,8,0,0,0,1,0
no,male,88,30,2,38,0,1,0,0,1
no,male,263,4,12,66,2,0,3,1,4
no,male,96,4,2,12,0,0,0,0,1
no,female,269,16,3,30,0,0,2,1,0
no,male,410,16,9,66,2,0,3,1,1
no,female,289,14,1,14,0,0,0,0,0
no,male,176,12,1,12,0,1,0,0,0
no,male,186,24,1,24,0,0,0,1,0
no,female,222,2,6,24,0,2,0,2,0
no,male,369,4,5,28,2,1,1,0,0
no,male,447,8,10,38,1,2,2,1,1
no,female,301,24,3,32,1,1,1,0,0
no,male,128,18,2,24,0,0,1,0,1
no,male,144,16,2,22,2,0,0,0,0
no,female,65,12,2,16,1,1,0,0,0
no,male,229,10,2,12,0,2,0,0,0
no,female,71,20,2,24,0,0,0,0,0
no,male,120,4,1,4,1,0,0,0,0
no,male,158,16,2,18,1,0,0,0,0
no,male,204,14,1,14,1,0,0,0,0
no,female,81,20,1,20,0,0,1,0,0
no,male,111,8,1,8,1,0,0,0,0
no,female,190,10,1,10,1,0,0,0,0
no,female,264,16,8,62,2,1,3,0,1
no,male,174,12,8,54,3,1,2,1,0
no,female,360,34,7,52,3,0,1,0,1
no,female,124,12,2,14,0,1,1,0,0
no,male,216,10,1,10,1,0,0,0,0
no,female,310,8,4,32,1,0,0,1,0
no,male,222,12,1,12,0,0,0,1,0
no,male,222,10,1,10,0,1,0,0,0
no,male,172,16,3,32,0,0,2,1,0
no,male,346,16,6,30,0,1,4,0,0
no,male,157,16,1,16,0,0,0,1,0
no,male,240,12,2,14,1,0,1,0,0
no,female,170,24,2,30,0,0,2,0,0
no,female,289,6,5,16,5,0,0,0,0
no,female,382,4,8,50,3,3,0,0,1
no,female,346,16,5,42,0,0,3,1,0
no,female,280,34,1,34,0,0,1,0,0
no,female,92,22,2,24,1,0,0,1,0
no,female,132,18,2,20,0,0,1,0,0
no,female,238,16,1,16,1,0,0,0,0
no,male,78,2,2,10,0,1,1,0,0
no,female,21,10,1,10,0,0,0,1,0
no,male,93,12,1,12,0,1,0,0,0
no,male,133,10,1,10,0,0,0,1,0
no,male,158,2,3,10,1,0,2,0,0
no,male,202,16,11,40,0,0,3,1,1
no,male,45,14,2,16,0,1,0,0,0
no,male,182,10,1,10,0,0,0,0,0
no,male,200,26,2,32,1,0,0,0,0
no,male,34,16,2,24,0,0,2,0,0
no,male,182,14,2,18,0,1,1,0,0
no,male,266,12,3,30,2,1,0,0,0
no,female,285,16,3,22,2,0,0,1,0
no,male,87,22,2,24,0,0,1,0,0
no,male,293,2,9,26,0,1,2,2,1
no,male,105,24,2,30,1,1,0,0,0
no,male,295,6,9,56,2,0,1,3,1
no,male,165,14,2,22,1,0,1,0,0
no,male,187,2,8,18,3,0,2,2,0
no,female,155,18,1,18,1,0,0,0,0
no,male,283,2,1,2,0,0,1,0,0
no,female,314,14,2,16,0,0,0,1,1
no,male,276,10,2,14,0,0,0,1,1
no,female,279,12,3,18,1,0,2,0,0
no,male,218,6,1,6,0,0,1,0,0
no,male,262,12,1,12,0,0,0,1,0
no,male,349,2,7,28,2,0,2,1,1
no,male,151,10,1,10,0,0,1,0,0
no,male,199,14,2,16,0,0,1,0,0
no,female,225,4,1,4,0,1,0,0,0
no,male,189,12,1,12,0,0,0,1,0
no,male,254,8,8,50,3,0,1,0,1
no,male,192,12,2,16,0,0,1,0,1
no,male,143,16,7,50,0,1,1,3,2
no,male,240,14,1,14,1,0,0,0,0
no,male,61,8,4,28,0,0,1,3,0
no,male,187,2,8,44,3,1,3,1,0
no,male,276,14,1,14,0,1,0,0,0
no,male,211,6,4,24,0,1,1,1,0
no,male,246,2,5,20,2,1,0,1,0
no,male,165,12,5,22,2,1,1,1,0
no,male,213,10,2,16,0,1,0,0,0
no,male,45,8,1,8,1,0,0,0,0
no,male,169,16,1,16,1,0,0,0,0
no,male,38,14,1,14,0,0,1,0,0
no,male,341,4,6,18,2,1,0,1,0
no,male,243,14,10,62,4,0,1,2,1
no,male,315,36,11,58,2,3,2,2,0
no,male,228,8,10,46,4,0,3,2,0
no,male,224,16,1,16,0,0,1,0,0
no,male,131,14,1,14,0,1,0,0,0
no,male,103,28,1,28,0,0,0,0,1
no,female,223,16,2,20,1,0,0,0,1
no,male,218,4,4,24,2,1,0,1,0
no,female,396,4,10,28,4,1,3,1,1
no,male,247,8,2,12,1,0,0,0,1
no,male,36,12,1,12,0,0,1,0,0
no,male,215,6,1,6,0,0,0,0,1
no,male,202,26,1,26,0,0,1,0,0
no,female,61,14,1,14,1,0,0,0,0
no,male,200,10,1,10,0,0,0,1,0
no,male,162,6,5,22,0,1,3,0,0
no,male,269,12,3,28,2,0,0,1,0
no,female,212,12,2,20,0,0,1,0,1
no,male,262,14,1,14,0,0,1,0,0
no,male,222,14,3,24,0,2,1,0,0
no,female,158,8,1,8,1,0,0,0,0
no,male,292,12,1,12,0,0,1,0,0
no,female,308,6,1,6,1,0,0,0,0
no,female,137,36,1,36,0,0,0,0,1
no,male,114,16,1,16,0,0,0,0,1
no,female,218,6,1,6,0,0,1,0,0
no,female,156,6,2,14,0,0,1,0,0
no,female,268,2,1,2,0,0,0,0,0
no,male,44,16,2,20,0,0,0,1,1
no,male,268,2,1,2,0,0,0,1,0
no,male,118,16,1,16,1,0,0,0,0
no,male,122,14,1,14,1,0,0,0,0
no,male,187,10,5,30,1,1,1,0,0
no,female,159,12,2,16,0,0,0,0,2
no,male,224,32,1,32,0,0,0,1,0
no,male,114,12,1,12,0,0,0,0,1
no,male,218,2,2,8,1,0,0,1,0
no,male,55,14,2,20,1,0,0,0,0
no,male,315,14,5,34,3,0,1,0,0
no,male,281,6,4,14,1,0,0,1,0
no,female,282,8,6,24,3,0,1,0,1
no,male,40,14,1,14,0,0,1,0,0
no,female,172,4,2,8,0,0,0,2,0
no,female,216,22,1,22,0,0,0,0,1
no,female,148,32,2,38,0,1,0,1,0
no,male,174,6,1,6,0,0,1,0,0
no,female,181,12,1,12,0,0,0,1,0
no,male,298,30,2,34,1,0,0,1,0
no,female,181,10,2,16,1,0,0,0,1
no,female,135,16,1,16,0,0,1,0,0
no,male,382,6,11,64,3,0,3,1,3
no,female,108,26,2,28,0,0,1,1,0
no,female,145,2,1,2,0,0,1,0,0
no,female,320,30,2,34,2,0,0,0,0
no,female,401,6,8,40,3,0,2,3,0
no,male,296,12,1,12,0,0,1,0,0
no,male,287,12,2,18,0,1,1,0,0
no,male,142,6,2,8,1,0,0,0,0
no,male,214,2,1,2,0,0,0,0,1
no,male,204,14,1,14,0,0,1,0,0
no,male,183,2,1,2,0,0,0,0,1
no,male,196,10,5,32,2,0,2,0,1
no,male,254,14,3,28,0,1,0,0,2
no,male,297,12,1,12,0,0,0,0,1
no,male,219,10,2,18,0,0,2,0,0
no,male,71,4,2,12,1,0,0,1,0
no,male,233,34,1,34,0,0,0,0,1
no,male,99,14,2,16,0,0,0,2,0
no,male,26,16,1,16,0,0,1,0,0
no,male,211,14,1,14,0,0,1,0,0
no,male,232,10,1,10,0,0,0,1,0
no,female,56,16,1,16,0,0,0,1,0
no,male,78,14,2,20,0,0,2,0,0
no,male,166,12,11,36,1,1,1,3,2
no,male,159,16,2,20,1,0,0,0,0
no,female,290,12,2,18,0,1,0,0,0
no,male,272,10,2,12,0,1,1,0,0
no,female,310,12,2,18,0,0,1,0,0
no,male,314,12,9,66,3,0,3,2,0
no,female,33,26,1,26,1,0,0,0,0
no,male,108,12,6,32,3,0,1,0,1
no,male,53,8,1,8,0,0,0,1,0
no,male,151,12,2,16,1,0,1,0,0
no,male,117,8,2,14,0,0,0,2,0
no,male,127,26,2,34,0,0,2,0,0
no,male,247,12,1,12,0,1,0,0,0
no,male,243,8,2,10,1,0,0,1,0
no,female,255,32,8,60,0,2,3,2,0
no,male,169,10,2,18,0,0,0,1,1
no,male,60,12,2,14,1,0,1,0,0
no,male,202,8,2,14,0,1,0,0,0
no,female,200,34,1,34,1,0,0,0,0
no,male,301,36,7,62,1,1,2,1,2
no,male,132,6,2,8,0,0,1,0,0
no,male,173,10,2,16,2,0,0,0,0
no,male,312,8,2,10,1,0,1,0,0
no,male,104,28,1,28,0,0,0,1,0
no,male,130,14,2,22,0,0,1,0,0
no,female,127,36,1,36,0,0,0,0,0
no,male,140,8,1,8,1,0,0,0,0
no,male,383,16,8,50,1,2,2,0,2
no,male,221,14,2,22,1,0,1,0,0
no,female,273,14,5,30,1,0,2,0,1
no,male,146,36,1,36,0,0,0,1,0
no,male,233,14,4,28,0,0,3,0,1
no,male,102,2,2,4,1,0,1,0,0
no,male,276,24,2,32,0,0,0,2,0
no,male,268,8,1,8,0,0,0,1,0
no,male,175,36,1,36,0,0,0,0,0
no,male,132,20,3,36,1,0,1,0,1
no,male,231,2,2,8,0,0,0,1,0
no,female,382,6,6,40,1,1,3,0,1
no,male,95,16,1,16,0,0,0,0,0
no,male,147,4,1,4,1,0,0,0,0
no,female,93,16,1,16,1,0,0,0,0
no,male,367,12,11,70,5,1,3,0,0
no,male,199,12,1,12,0,0,0,0,0
no,male,137,18,2,20,1,0,0,0,0
no,male,239,6,3,14,2,0,0,0,1
no,male,117,32,2,36,0,0,1,1,0
no,male,192,10,2,12,1,0,1,0,0
no,male,192,8,1,8,0,0,0,1,0
no,female,310,12,2,18,1,0,0,0,0
no,female,189,6,2,12,0,1,0,0,1
no,female,298,12,1,12,0,0,0,1,0
no,male,44,2,1,2,0,1,0,0,0
no,male,78,10,2,14,1,0,1,0,0
no,female,49,2,1,2,0,0,0,1,0
no,male,125,6,2,8,1,0,1,0,0
no,female,287,4,1,4,1,0,0,0,0
no,male,152,4,8,38,2,1,2,2,0
no,male,277,10,3,22,1,0,1,1,0
no,female,215,16,1,16,0,0,1,0,0
no,male,303,16,2,22,0,0,1,0,1
no,male,71,10,1,10,0,0,0,0,0
no,male,191,22,2,24,0,0,1,1,0
no,male,98,8,1,8,1,0,0,0,0
no,female,244,20,4,38,0,1,0,0,0
no,male,32,16,1,16,0,1,0,0,0
no,male,268,16,9,44,5,0,3,0,0
no,female,132,12,1,12,0,0,0,0,1
no,male,370,28,11,86,3,1,3,2,0
no,male,335,6,12,54,5,2,2,2,1
no,male,244,6,1,6,0,1,0,0,0
no,male,185,12,2,20,0,0,2,0,0
no,male,196,30,2,32,0,1,0,1,0
no,male,157,12,1,12,0,0,0,0,0
no,male,156,28,2,32,0,0,1,0,0
no,male,219,18,8,40,2,0,4,1,0
no,male,281,2,1,2,0,0,0,0,0
no,male,294,16,1,16,0,0,0,1,0
no,male,154,10,2,12,0,0,0,1,0
no,male,84,4,1,4,0,0,1,0,0
no,female,185,10,2,12,1,0,1,0,0
no,female,102,2,1,2,0,0,0,1,0
no,female,192,12,2,16,1,0,1,0,0
no,female,131,10,2,16,2,0,0,0,0
no,female,230,12,2,18,0,1,0,0,1
no,male,266,2,3,18,0,0,1,2,0
no,male,252,6,2,14,1,0,0,0,0
no,male,113,8,2,14,0,0,2,0,0
no,male,106,30,1,30,1,0,0,0,0
no,male,158,16,7,44,0,2,1,2,0
no,male,231,6,9,44,2,1,3,1,2
no,male,301,16,1,16,0,0,1,0,0
no,male,361,14,9,46,0,0,4,2,1
no,male,135,6,1,6,0,1,0,0,0
no,female,221,22,2,24,0,0,2,0,0
no,female,261,18,2,24,1,0,1,0,0
no,female,197,12,7,48,3,1,0,0,1
no,male,273,10,1,10,0,0,1,0,0
no,male,274,36,2,42,0,1,0,0,0
no,female,149,10,1,10,1,0,0,0,0
no,male,91,28,2,30,0,0,1,0,0
no,male,76,6,1,6,0,1,0,0,0
no,male,65,18,1,18,0,0,0,0,0
no,female,49,16,3,22,1,0,0,1,1
no,male,88,6,2,10,1,1,0,0,0
no,female,89,8,2,14,0,0,0,0,1
no,female,105,12,6,30,1,2,3,0,0
no,male,279,28,1,28,0,0,0,0,1
no,male,23,34,1,34,0,0,0,0,0
no,male,78,8,2,12,0,0,0,0,1
no,male,110,14,2,18,1,0,1,0,0
no,female,241,4,1,4,0,0,0,0,1
no,female,251,4,8,38,4,0,1,1,0
no,female,199,24,2,26,0,1,0,0,1
no,female,176,4,5,14,1,0,3,0,0
no,male,303,10,2,14,1,0,0,0,0
no,male,120,12,1,12,1,0,0,0,0
no,male,167,16,1,16,1,0,0,0,0
no,male,136,16,2,22,0,0,0,1,0
no,male,91,14,1,14,0,0,1,0,0
no,male,201,10,1,10,0,0,1,0,0
no,male,238,4,2,8,1,0,0,1,0
no,male,188,10,1,10,0,0,0,0,1
no,male,264,12,3,18,2,0,0,1,0
no,male,353,32,6,44,1,1,0,1,0
no,female,295,8,1,8,0,0,1,0,0
no,male,138,14,2,22,1,1,0,0,0
no,male,133,6,1,6,1,0,0,0,0
no,female,199,16,7,44,1,2,2,1,1
no,male,182,16,2,22,0,0,2,0,0
no,male,27,12,1,12,0,1,0,0,0
no,male,273,10,1,10,0,0,1,0,0
no,female,315,16,2,22,0,1,1,0,0
no,male,122,2,2,10,1,0,1,0,0
no,female,230,6,2,10,1,1,0,0,0
no,male,316,4,2,10,1,0,0,1,0
no,male,218,10,2,16,1,0,1,0,0
no,male,198,8,1,8,0,0,0,0,0
no,female,371,22,6,54,1,4,0,0,0
no,male,189,30,6,60,1,0,2,0,2
no,female,165,8,2,14,1,0,1,0,0
no,male,93,10,1,10,0,0,0,0,1
no,male,277,16,1,16,0,1,0,0,0
no,male,120,14,1,14,0,0,1,0,0
no,male,278,14,1,14,0,0,0,1,0
no,male,304,16,1,16,0,0,0,0,1
no,male,92,12,2,16,0,1,1,0,0
no,female,313,4,1,4,0,0,0,0,0
no,male,185,16,4,30,1,1,1,1,0
no,male,211,24,2,28,0,1,0,1,0
no,female,239,16,2,22,1,0,0,0,0
no,female,88,10,3,26,1,0,1,0,1
no,male,229,16,1,16,0,0,0,0,0
no,male,262,2,8,30,1,0,3,0,1
no,male,288,32,6,66,0,1,3,0,2
no,male,151,4,1,4,1,0,0,0,0
no,male,310,6,1,6,0,0,0,1,0
no,female,260,18,1,18,0,0,1,0,0
no,male,88,8,2,16,0,0,2,0,0
no,male,51,28,2,36,0,0,0,0,0
no,female,166,12,1,12,0,0,1,0,0
no,male,38,12,1,12,0,1,0,0,0
no,male,96,12,1,12,0,0,0,0,0
no,female,124,2,4,22,0,1,1,2,0
no,male,223,8,4,20,1,1,2,0,0
no,male,118,16,1,16,0,0,0,0,0
no,male,116,26,1,26,0,0,0,0,0
no,male,154,8,7,24,3,0,2,0,1
no,male,82,16,1,16,1,0,0,0,0
no,female,296,24,6,42,0,1,3,2,0
no,female,177,2,1,2,1,0,0,0,0
no,male,86,8,1,8,0,0,0,1,0
no,male,202,12,1,12,1,0,0,0,0
no,male,78,26,1,26,0,0,0,1,0
no,male,70,12,1,12,0,1,0,0,0
no,male,192,12,1,12,0,0,1,0,0
no,female,288,16,2,22,0,0,1,1,0
no,male,131,14,2,22,1,0,1,0,0
no,male,113,36,2,42,1,0,1,0,0
no,female,190,18,1,18,0,0,0,1,0
no,male,93,12,1,12,0,0,1,0,0
no,male,59,18,2,22,0,1,0,0,1
no,female,96,12,4,28,2,1,0,0,0
no,female,82,12,2,20,2,0,0,0,0
no,female,255,16,1,16,0,0,0,1,0
no,male,76,32,2,40,0,1,0,1,0
no,female,70,6,1,6,0,0,0,0,1
no,male,180,16,2,18,0,1,0,0,1
no,female,106,8,1,8,1,0,0,0,0
no,female,268,10,2,18,1,0,0,0,1
no,male,274,14,2,16,0,0,1,0,1
no,male,59,8,2,14,1,0,1,0,0
no,male,141,2,1,2,1,0,0,0,0
no,female,219,10,1,10,1,0,0,0,0
no,female,156,2,1,2,1,0,0,0,0
no,male,153,8,1,8,0,0,0,0,1
no,male,244,12,1,12,0,0,1,0,0
no,male,144,16,1,16,0,0,1,0,0
no,male,312,22,4,32,4,0,0,0,0
no,male,81,4,3,10,0,0,1,0,1
no,male,97,12,2,18,0,0,1,0,0
no,male,147,34,2,36,1,0,1,0,0
no,male,367,18,8,40,2,1,3,0,0
no,male,169,10,1,10,0,0,1,0,0
no,male,261,10,2,18,0,0,1,1,0
